INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country
536365,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,01-12-2010,2.55,17850,"United Kingdom"
536366,71053,"WHITE METAL LANTERN",6,1-12-2010,3.39,13047,"United Kingdom"
536367,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 08:26",2.75,12583,"United Kingdom"
536368,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 08:26",3.39,13748,"United Kingdom"
536369,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 08:26",3.39,15100,"United Kingdom"
536370,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 08:26",7.65,15291,"United Kingdom"
536371,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 08:26",4.25,14688,"United Kingdom"
536372,22633,"HAND WARMER UNION JACK",6,"12-01-2010 08:28",1.85,17809,"United Kingdom"
536373,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 08:28",1.85,15311,"United Kingdom"
536374,84879,"ASSORTED COLOUR BIRD ORNAMENT",32,"12-01-2010 08:34",1.69,16098,"United Kingdom"
536375,22745,"POPPY'S PLAYHOUSE BEDROOM ",6,"12-01-2010 08:34",2.1,18074,"United Kingdom"
536376,22748,"POPPY'S PLAYHOUSE KITCHEN",6,"12-01-2010 08:34",2.1,17420,"United Kingdom"
536377,22749,"FELTCRAFT PRINCESS CHARLOTTE DOLL",8,"12-01-2010 08:34",3.75,16029,"United Kingdom"
536378,22310,"IVORY KNITTED MUG COSY ",6,"12-01-2010 08:34",1.65,16250,"United Kingdom"
536380,84969,"BOX OF 6 ASSORTED COLOUR TEASPOONS",6,"12-01-2010 08:34",4.25,12431,"United Kingdom"
536381,22623,"BOX OF VINTAGE JIGSAW BLOCKS ",3,"12-01-2010 08:34",4.95,17511,"United Kingdom"
536382,22622,"BOX OF VINTAGE ALPHABET BLOCKS",2,"12-01-2010 08:34",9.95,17548,"United Kingdom"
536383,21754,"HOME BUILDING BLOCK WORD",3,"12-01-2010 08:34",5.95,13705,"United Kingdom"
536384,21755,"LOVE BUILDING BLOCK WORD",3,"12-01-2010 08:34",5.95,13747,"United Kingdom"
536385,21777,"RECIPE BOX WITH METAL HEART",4,"12-01-2010 08:34",7.95,13408,"United Kingdom"
536386,48187,"DOORMAT NEW ENGLAND",4,"12-01-2010 08:34",7.95,13767,"United Kingdom"
536387,22960,"JAM MAKING SET WITH JARS",6,"12-01-2010 08:34",4.25,17924,"United Kingdom"
536388,22913,"RED COAT RACK PARIS FASHION",3,"12-01-2010 08:34",4.95,13448,"United Kingdom"
536389,22912,"YELLOW COAT RACK PARIS FASHION",3,"12-01-2010 08:34",4.95,15862,"United Kingdom"
536390,22914,"BLUE COAT RACK PARIS FASHION",3,"12-01-2010 08:34",4.95,15513,"United Kingdom"
536391,21756,"BATH BUILDING BLOCK WORD",3,"12-01-2010 08:35",5.95,12791,"United Kingdom"
536414,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",80,"12-01-2010 09:00",2.55,17181,"United Kingdom"
536415,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 09:01",1.85,17951,"United Kingdom"
536416,22633,"HAND WARMER UNION JACK",6,"12-01-2010 09:01",1.85,14729,"United Kingdom"
536420,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12-01-2010 09:02",2.55,12748,"United Kingdom"
536423,71053,"WHITE METAL LANTERN",6,"12-01-2010 09:02",3.39,15012,"United Kingdom"
536425,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 09:02",2.75,12868,"United Kingdom"
536437,20679,"EDWARDIAN PARASOL RED",6,"12-01-2010 09:02",4.95,17572,"United Kingdom"
536446,37370,"RETRO COFFEE MUGS ASSORTED",6,"12-01-2010 09:02",1.06,14078,"United Kingdom"
536460,21871,"SAVE THE PLANET MUG",6,"12-01-2010 09:02",1.06,14001,"United Kingdom"
536463,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12-01-2010 09:02",1.06,12662,"United Kingdom"
536464,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12-01-2010 09:02",1.06,15525,"United Kingdom"
536466,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12-01-2010 09:02",4.95,14237,"United Kingdom"
536477,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12-01-2010 09:02",6.95,17905,"United Kingdom"
536488,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12-01-2010 09:02",2.1,15485,"United Kingdom"
536500,82494,"WOODEN FRAME ANTIQUE WHITE ",6,"12-01-2010 09:02",2.55,12433,"United Kingdom"
536502,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 09:02",3.39,16955,"United Kingdom"
536506,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 09:02",3.39,15350,"United Kingdom"
536508,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 09:02",7.65,15605,"United Kingdom"
536514,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 09:02",4.25,18144,"United Kingdom"
536520,21258,"VICTORIAN SEWING BOX LARGE",32,"12-01-2010 09:09",10.95,15922,"United Kingdom"
536521,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12-01-2010 09:32",2.55,14594,"United Kingdom"
536522,71053,"WHITE METAL LANTERN",6,"12-01-2010 09:32",3.39,15165,"United Kingdom"
536523,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 09:32",2.75,14911,"United Kingdom"
536524,20679,"EDWARDIAN PARASOL RED",6,"12-01-2010 09:32",4.95,16456,"United Kingdom"
536525,37370,"RETRO COFFEE MUGS ASSORTED",6,"12-01-2010 09:32",1.06,17841,"United Kingdom"
536526,21871,"SAVE THE PLANET MUG",6,"12-01-2010 09:32",1.06,12472,"United Kingdom"
536527,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12-01-2010 09:32",1.06,17346,"United Kingdom"
536528,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12-01-2010 09:32",1.06,17643,"United Kingdom"
536529,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12-01-2010 09:32",4.95,17873,"United Kingdom"
536530,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12-01-2010 09:32",6.95,13093,"United Kingdom"
536531,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12-01-2010 09:32",2.1,12921,"United Kingdom"
536532,82494,"WOODEN FRAME ANTIQUE WHITE ",6,"12-01-2010 09:32",2.55,13468,"United Kingdom"
536533,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 09:32",3.39,17760,"United Kingdom"
536534,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 09:32",3.39,16928,"United Kingdom"
536535,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 09:32",7.65,16048,"United Kingdom"
536536,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 09:32",4.25,16274,"United Kingdom"
536537,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",48,"12-01-2010 09:32",3.45,14496,"United Kingdom"
536538,21733,"RED HANGING HEART T-LIGHT HOLDER",64,"12-01-2010 09:32",2.55,14696,"United Kingdom"
536539,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 09:34",1.85,16539,"United Kingdom"
536540,22633,"HAND WARMER UNION JACK",6,"12-01-2010 09:34",1.85,17025,"United Kingdom"
536541,22386,"JUMBO BAG PINK POLKADOT",10,"12-01-2010 09:37",1.95,13777,"United Kingdom"
536542,85099,"JUMBO  BAG BAROQUE BLACK WHITE",10,"12-01-2010 09:37",1.95,17690,"United Kingdom"
536543,21033,"JUMBO BAG CHARLIE AND LOLA TOYS",10,"12-01-2010 09:37",2.95,12947,"United Kingdom"
536544,20723,"STRAWBERRY CHARLOTTE BAG",10,"12-01-2010 09:37",0.85,17460,"United Kingdom"
536545,84997,"RED 3 PIECE RETROSPOT CUTLERY SET",12,"12-01-2010 09:37",3.75,18229,"United Kingdom"
536546,84997,"BLUE 3 PIECE POLKADOT CUTLERY SET",6,"12-01-2010 09:37",3.75,14142,"United Kingdom"
536547,21094,"SET/6 RED SPOTTY PAPER PLATES",12,"12-01-2010 09:37",0.85,17069,"United Kingdom"
536548,20725,"LUNCH BAG RED RETROSPOT",10,"12-01-2010 09:37",1.65,13065,"United Kingdom"
536549,21559,"STRAWBERRY LUNCH BOX WITH CUTLERY",6,"12-01-2010 09:37",2.55,14606,"United Kingdom"
536550,22352,"LUNCH BOX WITH CUTLERY RETROSPOT ",6,"12-01-2010 09:37",2.55,16835,"United Kingdom"
536551,21212,"PACK OF 72 RETROSPOT CAKE CASES",120,"12-01-2010 09:37",0.42,15235,"United Kingdom"
536552,21975,"PACK OF 60 DINOSAUR CAKE CASES",24,"12-01-2010 09:37",0.55,13576,"United Kingdom"
536553,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",24,"12-01-2010 09:37",0.55,18011,"United Kingdom"
536554,84991,"60 TEATIME FAIRY CAKE CASES",24,"12-01-2010 09:37",0.55,13090,"United Kingdom"
536555,84519,"TOMATO CHARLIE+LOLA COASTER SET",6,"12-01-2010 09:37",2.95,15694,"United Kingdom"
536556,85183,"CHARLIE & LOLA WASTEPAPER BIN FLORA",48,"12-01-2010 09:37",1.25,14741,"United Kingdom"
536557,85071,"RED CHARLIE+LOLA PERSONAL DOORSIGN",96,"12-01-2010 09:37",0.38,13715,"United Kingdom"
536558,21931,"JUMBO STORAGE BAG SUKI",10,"12-01-2010 09:37",1.95,14092,"United Kingdom"
536559,21929,"JUMBO BAG PINK VINTAGE PAISLEY",10,"12-01-2010 09:37",1.95,17732,"United Kingdom"
536560,22961,"JAM MAKING SET PRINTED",24,"12-01-2010 09:41",1.45,12855,"United Kingdom"
536561,22139,"RETROSPOT TEA SET CERAMIC 11 PC ",23,"12-01-2010 09:41",4.25,15752,"United Kingdom"
536562,84854,"GIRLY PINK TOOL SET",5,"12-01-2010 09:41",4.95,17855,"United Kingdom"
536563,22411,"JUMBO SHOPPER VINTAGE RED PAISLEY",10,"12-01-2010 09:41",1.95,14047,"United Kingdom"
536564,82567,"AIRLINE LOUNGE,METAL SIGN",2,"12-01-2010 09:41",2.1,17925,"United Kingdom"
536565,21672,"WHITE SPOT RED CERAMIC DRAWER KNOB",6,"12-01-2010 09:41",1.25,13941,"United Kingdom"
536566,22774,"RED DRAWER KNOB ACRYLIC EDWARDIAN",24,"12-01-2010 09:41",1.25,17017,"United Kingdom"
536567,22771,"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",24,"12-01-2010 09:41",1.25,14135,"United Kingdom"
536568,71270,"PHOTO CLIP LINE",1,"12-01-2010 09:41",1.25,13108,"United Kingdom"
