INVOICENO,Description,Quantity,UnitPrice,Line_Item_Value
536414,"PAPER CHAIN KIT 50'S CHRISTMAS ",80,2.55,204
536520,"VICTORIAN SEWING BOX LARGE",32,10.95,350.4
536537,"HOT WATER BOTTLE TEA AND SYMPATHY",48,3.45,165.60000000000002
536538,"RED HANGING HEART T-LIGHT HOLDER",64,2.55,163.2
536615,"HEART OF WICKER LARGE",40,2.55,102
536629,"WHITE WIRE EGG HOLDER",36,4.95,178.20000000000002
536630,"JUMBO  BAG BAROQUE BLACK WHITE",100,1.65,165
536631,"JUMBO BAG RED RETROSPOT",100,1.65,165
536632,"CHILLI LIGHTS",192,3.82,733.4399999999999
536633,"LIGHT GARLAND BUTTERFILES PINK",192,3.37,647.04
536634,"WOODEN OWLS LIGHT GARLAND ",192,3.37,647.04
536635,"FAIRY TALE COTTAGE NIGHTLIGHT",432,1.45,626.4
536636,"RED TOADSTOOL LED NIGHT LIGHT",432,1.25,540
536745,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,2.55,102
536747,"WHITE HANGING HEART T-LIGHT HOLDER",64,2.55,163.2
536755,"DELUXE SEWING KIT ",40,4.95,198
536756,"RETROSPOT HEART HOT WATER BOTTLE",24,4.25,102
536760,"HOMEMADE JAM SCENTED CANDLES",96,1.25,120
536761,"JUMBO BAG RED RETROSPOT",100,1.65,165
536782,"RUSTIC  SEVENTEEN DRAWER SIDEBOARD",1,165,165
536790,"HAND WARMER UNION JACK",96,1.85,177.60000000000002
536791,"HAND WARMER SCOTTY DOG DESIGN",96,1.85,177.60000000000002
536792,"HAND WARMER OWL DESIGN",96,1.85,177.60000000000002
536793,"HAND WARMER RED RETROSPOT",96,1.85,177.60000000000002
536812,"HAND WARMER BIRD DESIGN",48,2.1,100.80000000000001
536813,"HAND WARMER SCOTTY DOG DESIGN",48,2.1,100.80000000000001
536833,"SET OF 3 COLOURED  FLYING DUCKS",48,4.65,223.20000000000002
536999,"PAPER CHAIN KIT 50'S CHRISTMAS ",40,2.55,102
537000,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,2.55,102
537001,"HOT WATER BOTTLE BABUSHKA ",36,4.25,153
537031,"SET/5 RED RETROSPOT LID GLASS BOWLS",128,2.55,326.4
537640,"RED RETROSPOT OVEN GLOVE ",200,1.06,212
537641,"CREAM HEART CARD HOLDER",72,3.39,244.08
537642,"NAMASTE SWAGAT INCENSE",600,0.24,144
537645,"BLACK HEART CARD HOLDER",36,3.39,122.04
537853,"BLACK RECORD COVER FRAME",480,3.39,1627.2
537854,"RECORD FRAME 7" SINGLE SIZE ",48,2.1,100.80000000000001
537860,"CHRISTMAS GINGHAM HEART",144,0.72,103.67999999999999
537861,"CHRISTMAS GINGHAM STAR",144,0.72,103.67999999999999
537864,"REGENCY CAKESTAND 3 TIER",16,10.95,175.2
538532,"PAPER CHAIN KIT 50'S CHRISTMAS ",80,2.55,204
538533,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,2.55,102
538719,"ASSORTED COLOUR BIRD ORNAMENT",80,1.69,135.2
539038,"PAPER CHAIN KIT 50'S CHRISTMAS ",33,5.91,195.03
539143,"REGENCY CAKESTAND 3 TIER",40,12.72,508.8
540173,"CHILLI LIGHTS",24,4.25,102
540238,"CHILLI LIGHTS",48,4.25,204
540250,"DOORMAT RED RETROSPOT",20,6.75,135
540477,"GREY HEART HOT WATER BOTTLE",36,3.39,122.04
540478,"HOT WATER BOTTLE I AM SO POORLY",24,4.25,102
540533,"UNION JACK FLAG PASSPORT COVER ",72,1.69,121.67999999999999
540534,"CREAM SLICE FLANNEL PINK SPOT ",72,2.55,183.6
540535,"STRAWBERRY CERAMIC TRINKET BOX",144,1.25,180
540537,"JUMBO BAG RED RETROSPOT",70,1.65,115.5
540538,"WHITE HANGING HEART T-LIGHT HOLDER",128,2.55,326.4
540539,"EDWARDIAN PARASOL PINK",48,4.6,220.79999999999998
540540,"LADS ONLY TISSUE BOX",252,1.25,315
